script_file,matched_equation,confidence_score
Blackhole Entropy Comparison,Field Symmetry Discretization Curve,0.25
Blackhole Entropy Evolution,Entropy Collapse Coherence Map,0.24
Blackhole Entropy Fixed,Field Symmetry Discretization Curve,0.212
Blackhole Entropy Graph,Surface Area Quantization Function,0.221
Blackhole Entropy Observation,Entropy Collapse Coherence Map,0.259
Blackhole Entropy Plots,Entropy Collapse Coherence Map,0.223
Blackhole Entropy Shift,Entropy Collapse Coherence Map,0.223
Blackhole Model Comparison,2D Surface Entropy Encoding Curve,0.222
Blackhole QM Comparison,2D Surface Entropy Encoding Curve,0.206
Blackhole Temp Reversal,Entropy Gradient Transition,0.201
Blackhole Transision,2D Surface Entropy Encoding Curve,0.199
Bose Einstein Entropy,Surface-Stabilized Collapse Limit,0.204
Cosmis Entropy Hubble Test.py,Entropy Gradient Transition,0.251
Cosmological Entropy Test,Entropy Gradient Transition,0.234
Entropy Blackhole Model,Entropic Shell Compression Ratio,0.222
Entropy Blackhole Obs,Entropy Gradient Transition,0.251
Entropy Blackhole QM,Entropy Gradient Transition,0.229
Entropy Correlation Test,Entropy Collapse Coherence Map,0.256
Entropy Correlation Test 1.1,Entropy Collapse Coherence Map,0.261
Entropy Correlation Test 1.2,Entropy Collapse Coherence Map,0.261
Entropy Correlation Test 1.3,Entropy Collapse Coherence Map,0.261
Entropy Correlation Test 1.4,Entropy Collapse Coherence Map,0.261
Entropy Dark Energy Comparison,Entropy Anchoring Tensor,0.291
Entropy Divergence Test,Entropy Gradient Transition,0.26
Entropy Dynamic Test,Entropy Spike Curve,0.188
Entropy Epoch Analysis,Entropy Collapse Coherence Map,0.225
Entropy Equations,Entropy Gradient Transition,0.184
Entropy Evaporation Comparison,2D Surface Entropy Encoding Curve,0.275
Entropy Evaporation Comparison 1.1,2D Surface Entropy Encoding Curve,0.279
Entropy Evaporation Comparison 1.2,2D Surface Entropy Encoding Curve,0.279
Entropy Expension Analysis,Entropy Gradient Transition,0.256
Entropy Gravity Eq,Entropy Gradient Transition,0.195
Entropy Horizon Function Test,Entropy Collapse Coherence Map,0.303
Entropy Horizon Table,Entropy Collapse Coherence Map,0.226
Entropy Hubble Comparison,Entropy Anchoring Tensor,0.229
Entropy Hubble Tension,Entropy Gradient Transition,0.202
Entropy Hubble Test,Entropy Gradient Transition,0.194
Entropy Model Convergence,Kelvin Vector Collapse Mapping,0.236
Entropy No Spacetime,Entropy Gradient Transition,0.205
Entropy Perturbation Test,Entropy Collapse Coherence Map,0.243
Entropy Predictive Model,Entropy Collapse Coherence Map,0.244
Entropy Predictive Model 1.1,Entropy Collapse Coherence Map,0.25
Entropy Predictive Test,Kelvin Vector Collapse Mapping,0.229
Entropy RData Model,Entropy Gradient Transition,0.218
Entropy RData Model Test 1,Entropy Gradient Transition,0.267
Entropy RData Model Test 1.1,Entropy Gradient Transition,0.276
Entropy Saturation Function,Entropy Collapse Coherence Map,0.273
Entropy Saturation Function 1.1,Entropy Collapse Coherence Map,0.289
Entropy Saturation Function 1.2,Entropy Collapse Coherence Map,0.289
Entropy Saturation Horizon,Entropy Gradient Transition,0.244
Entropy Scaling Analysis,Entropy Gradient Transition,0.247
Entropy Scaling Post Equilibrium,Entropy Reassembly Function,0.24
Entropy Scaling Test,Entropy Gradient Transition,0.217
Entropy Temp Shift,Entropy Gradient Transition,0.195
Entropy Temp Testing Mod 1.py,Entropy Gradient Transition,0.24
Entropy Temp Testing Mod 2.1.py,Entropy Gradient Transition,0.237
Entropy Temp Testing Mod 2.3.py,Entropy Gradient Transition,0.237
Entropy Temp Testing Mod 2.py,Entropy Gradient Transition,0.24
Entropy Temp Testing Mod 3.1.py,Entropy Gradient Transition,0.237
